gender,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,SeniorCitizen,PC1,PC2,Churn
0,1,0,1,2,0,2,2,2,2,0,2,2,0,0,1,2.1162550241531597,-0.7131800234163264,0
1,1,1,0,1,0,0,0,0,2,2,2,2,0,0,0,0.849913150802143,-1.2361367806898806,0
1,1,1,1,2,1,0,2,2,2,2,2,0,1,2,0,1.214953215156152,1.0825390007998783,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,-1.7069102784496955,0.3234320414192406,1
1,0,0,1,2,1,0,0,0,0,0,0,0,1,1,1,-0.7716706464297668,0.7670358588594722,0
1,0,0,0,1,0,2,2,0,0,0,2,0,1,0,0,-0.8149411469969224,-0.34216139386265637,0
0,0,0,0,1,0,0,0,2,2,0,0,0,1,2,0,-1.3129558178600438,-0.37809653689835476,0
1,1,0,0,1,0,0,2,0,0,0,0,0,0,1,0,-1.8967419953867175,-0.13530145562664736,0
0,0,0,1,0,2,1,1,1,1,1,1,1,0,2,0,-0.20192710338196002,-1.9955419697894496,0
0,1,1,1,0,2,1,1,1,1,1,1,2,0,0,0,-1.80416917605785,-0.6114515786493582,0
0,1,0,1,2,1,0,0,0,0,2,0,0,1,1,1,0.42089766636801695,0.5564235479794358,1
1,0,0,1,2,1,0,0,0,0,0,2,0,1,2,1,-0.6750148953682354,1.152688971306817,1
1,1,1,1,2,0,0,2,2,0,2,2,1,1,2,1,1.2246066346056146,-0.11184788019351839,0
0,0,0,1,0,2,1,1,1,1,1,1,1,0,1,0,-1.6595049451916826,-0.7447729157202342,0
1,0,0,0,1,0,0,0,0,0,2,2,1,1,2,1,0.8275218184733482,-1.471836452012963,1
0,0,1,1,2,1,2,0,0,2,0,0,0,1,3,0,-0.4221337238043957,1.0426912608953256,0
0,1,1,1,0,0,2,2,0,2,0,0,1,1,3,0,-0.74784098733731,0.30104015963985026,0
1,0,0,0,1,0,2,0,2,2,2,2,2,1,0,0,0.4147581612777122,-0.4602455938126752,0
1,1,0,1,0,1,0,2,2,0,2,2,0,1,2,1,-0.22983404337095636,1.381240767357196,1
1,0,0,1,0,1,0,0,0,0,2,0,0,1,0,0,-0.3277961437513341,0.7179154210721056,0
0,0,0,1,0,0,2,2,0,2,0,2,2,0,3,0,-1.1947923925889792,0.9484188032148922,0
1,1,1,1,0,2,1,1,1,1,1,1,2,0,1,0,-0.35238792956874515,-1.8658547809160806,0
0,0,0,1,0,2,1,1,1,1,1,1,2,0,3,1,-1.0553915951550454,-1.2710149433982811,0
1,0,0,1,0,2,1,1,1,1,1,1,0,0,2,0,-1.9694846620253532,-0.5123767490280949,1
0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0.2726254297777666,-0.5889153905488052,0
0,0,1,1,2,1,2,0,0,0,0,0,0,1,2,0,-0.6671793092177905,0.8964230860653112,1
1,1,0,1,0,2,1,1,1,1,1,1,1,0,0,0,-1.8719478481724061,-0.5794577096047308,0
1,0,0,1,0,1,0,0,2,0,0,0,0,1,2,0,-0.8690856601629565,0.8577527725335643,0
1,0,0,1,0,0,2,0,0,0,0,0,0,1,2,0,-0.7213665499259345,-0.12486194862198076,0
0,1,0,1,2,1,0,2,0,0,2,0,0,1,2,0,-0.7952788139817659,1.4604009154400834,1
0,0,0,1,2,1,2,2,0,0,0,0,0,0,3,0,1.0730905990980917,0.13232789256423913,0
0,0,0,1,0,1,2,2,0,2,2,0,2,1,0,1,2.3607840717527875,-0.23351191634940754,0
0,1,1,1,2,0,0,2,0,2,2,2,0,0,1,0,-0.5196806351279863,0.8973572419847791,0
0,1,1,1,0,2,1,1,1,1,1,1,0,0,3,0,-0.9134319399032755,-1.4364053626786972,0
0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,0,-1.9132374079768153,-0.5683368526654876,0
0,0,0,1,0,1,0,0,0,0,0,2,0,1,2,0,-1.1041189694572173,1.2870063820654558,1
0,1,0,1,2,1,0,2,2,2,2,2,1,1,0,0,2.4361151433314268,0.45687327148871215,0
1,0,0,1,0,2,1,1,1,1,1,1,0,1,3,0,-2.121380701003868,-0.3391074779336819,1
1,1,0,1,2,1,0,2,2,2,2,2,2,1,2,1,3.1258986728927773,0.13704542508952616,0
0,1,1,1,2,1,2,0,2,2,2,2,2,0,2,0,2.9362764089170863,0.22692474043121708,0
1,1,0,1,2,1,2,0,2,2,0,0,2,1,1,0,1.558397904737019,0.15618855354396008,0
0,0,0,1,0,2,1,1,1,1,1,1,0,1,1,0,-2.037101832528197,-0.41330196519648726,0
0,0,0,1,0,2,1,1,1,1,1,1,0,0,2,0,-2.1419397497416743,-0.37197154139364835,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,-1.699509020904085,0.33526310426482864,1
1,1,0,1,2,1,2,2,2,0,0,2,2,1,2,0,2.9588116615080633,-0.21563049128420267,0
0,0,0,0,1,0,2,2,2,2,2,0,1,1,2,0,0.45691779848992975,-0.8211642981583985,0
1,0,1,0,1,0,2,2,2,2,2,2,2,0,1,0,1.6393657946839169,-0.9818230208633361,0
0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,-1.2612526768055625,0.9368414510706757,1
1,0,0,1,2,1,2,2,2,2,2,2,2,0,0,1,3.3192317696936335,0.1584295694134722,0
1,1,1,1,0,0,0,0,0,0,0,0,0,1,3,0,-1.6978642970050606,0.337892229341626,1
0,1,1,1,2,2,1,1,1,1,1,1,2,1,3,0,-0.033270920838701284,-1.8902032619646962,0
0,0,0,1,0,2,1,1,1,1,1,1,1,0,3,0,-1.6153844493106182,-0.7700671232153521,0
0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,1,-1.251725632706264,0.95542996415565,1
0,0,0,1,2,0,0,0,0,2,2,2,1,0,3,0,-0.7465282882089471,0.7855636562805693,1
0,0,0,1,0,0,0,0,2,2,0,2,2,0,1,0,0.37702596256044124,-0.20643718303262756,0
1,0,1,1,2,0,0,2,0,2,2,2,1,1,3,0,0.28082703853331187,0.41119699347781075,1
1,1,0,1,0,0,2,2,0,0,0,0,1,1,1,0,1.0978076731480466,-1.2406903730052183,0
0,1,1,1,0,1,2,2,2,0,0,0,1,0,0,0,2.0787386043005647,-0.4201160694154671,0
1,1,1,1,0,2,1,1,1,1,1,1,2,0,1,0,-0.6629061891546545,-1.6191712358163095,0
1,0,0,1,2,2,1,1,1,1,1,1,1,0,1,0,-0.10428024077163917,-1.8412168492239032,0
1,0,0,1,0,2,1,1,1,1,1,1,0,0,3,0,-1.4062226587736049,-0.9336862730364454,0
0,1,0,1,2,1,0,0,2,2,2,2,0,1,1,0,2.234024527856127,0.2499895431411281,1
1,1,0,1,0,1,2,0,2,2,2,2,1,1,0,1,2.0152524399924747,0.4712066667449242,0
1,0,0,0,1,0,0,2,2,0,0,0,0,0,2,1,-0.6436223311192509,-0.8290687409618734,0
0,0,0,1,2,2,1,1,1,1,1,1,1,0,2,0,-1.9680355117846335,-0.31539673510321353,0
0,0,0,1,2,1,0,0,2,0,0,2,0,1,0,1,2.0464392156423004,-0.19324204791897454,0
1,1,0,1,0,1,0,2,0,0,2,2,1,1,0,0,1.6944645022645115,0.1946791034895343,1
0,1,1,1,0,1,0,2,0,0,2,0,0,1,2,0,0.4511106644838945,0.557787740447223,0
0,0,0,1,0,1,0,0,0,2,2,2,1,1,0,0,0.5139502341117166,0.8280211602013515,0
0,1,0,1,2,1,0,0,0,0,2,2,0,1,2,0,-0.387111309621124,1.329748110075696,1
0,1,1,0,1,0,2,2,2,2,0,0,2,0,0,0,0.7787808590642812,-1.41690134530307,0
0,1,1,0,1,0,0,2,2,2,2,0,2,0,1,0,0.7121628470695409,-1.0881570418589765,0
0,0,0,1,2,1,0,0,2,0,2,2,0,0,1,0,-0.40926378786562573,1.4966018089257433,1
0,1,0,1,0,0,0,0,0,2,0,0,0,1,3,0,-0.9809704882888916,0.011126208272139955,0
0,1,1,1,0,2,1,1,1,1,1,1,2,1,3,0,-0.47518551428321887,-1.786361102912982,0
0,0,0,1,2,1,2,0,0,0,2,2,0,1,2,1,0.9723300115226264,0.8018537621392121,0
1,0,1,1,0,0,2,2,2,2,0,2,2,0,0,0,-0.6139777727947716,0.7851054871649708,0
0,1,1,1,0,2,1,1,1,1,1,1,2,0,1,0,-0.45517802366242094,-1.7701379572317189,0
0,0,0,1,0,0,2,2,0,0,2,2,0,1,2,0,-0.8555728065962771,0.8801437798151402,1
0,1,0,1,2,1,2,0,0,0,0,0,0,1,2,1,1.0678708187367278,-0.16789107227802866,1
1,1,0,1,0,2,1,1,1,1,1,1,2,0,3,0,-1.2876274374567644,-1.1007504371886767,0
1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,-1.4878561916510369,0.41475779081203584,1
0,0,0,1,0,1,2,2,0,0,0,0,0,0,2,1,-0.5727637212945026,0.8577797747587586,0
0,1,0,1,0,1,2,0,0,0,2,2,0,1,2,1,0.27230440285351776,1.0280446923372402,0
1,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,-0.5857984369211883,0.5672877465030148,0
1,1,0,1,0,0,0,2,0,0,0,0,0,1,0,0,-1.37475287558844,0.25270439770227365,0
1,1,0,1,2,0,2,0,2,2,0,2,2,0,1,0,1.5335703010602444,-0.4968342282786654,0
0,1,1,1,2,1,2,2,2,2,0,2,2,0,1,0,3.1618847283452753,-0.003601183005756225,0
1,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,-1.6460554941857888,0.42070966926074127,0
0,1,1,1,0,2,1,1,1,1,1,1,0,0,2,0,-1.567670840231654,-0.822451834345556,0
0,1,1,1,2,0,2,0,2,2,2,2,2,1,1,0,2.361759758421684,-0.5287427992140462,0
1,0,0,1,2,1,0,2,0,0,0,0,1,1,1,0,2.06493642175918,-0.6691334073664599,0
0,1,1,1,2,1,2,2,2,2,2,2,2,0,1,0,3.619752823500487,0.23342578969746283,0
1,0,0,1,0,1,0,0,0,0,0,0,0,1,3,0,0.2623509655081297,0.024249272481880045,0
1,1,1,1,0,0,2,2,2,0,2,2,2,1,1,0,2.0735072481244545,-0.6167444574228859,0
0,1,1,1,2,1,0,0,2,0,0,2,1,1,2,0,1.4905503249070684,0.14474017615711388,0
0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,-0.10865027229319052,0.26338238502441463,0
0,1,0,1,0,1,0,0,0,0,0,0,0,1,2,0,-1.317933076330402,0.9452201220818052,1
0,1,0,1,0,2,1,1,1,1,1,1,2,0,3,0,-1.0140198717563265,-1.3506303845817247,0
0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,-1.3728536310328003,0.24835477900861716,0
0,0,0,1,0,1,0,0,2,0,0,0,0,1,2,1,-0.6996002472165825,0.7655725006968692,1
0,0,0,0,1,0,0,0,2,2,0,0,0,0,3,0,-1.8615143249579977,0.0762942842002933,0
0,0,0,1,0,2,1,1,1,1,1,1,1,0,3,1,-1.6519438934492408,-0.7287836598735078,0
0,1,0,1,0,1,0,2,0,0,2,2,0,1,0,0,-0.14938648795811496,1.212813364751279,0
1,0,0,1,0,0,2,0,0,0,0,0,0,1,3,0,-1.6172728259528601,0.46671935810469417,0
0,1,1,1,2,1,0,0,0,0,0,0,0,1,0,0,-0.2702487876111629,0.5641361615385515,0
0,0,0,1,2,1,0,0,0,0,2,2,0,1,2,1,-0.10527888777388926,1.2504432366710279,1
0,1,1,1,2,1,2,2,0,0,2,2,0,1,2,0,1.6455957313997966,0.6831311749135413,0
0,1,1,1,0,1,0,0,0,0,0,0,0,1,2,0,-1.2236735349428185,0.9079823344583229,0
0,0,0,1,2,1,0,2,0,0,2,2,0,1,2,0,-0.09712832145316073,1.38355020147894,0
0,1,0,1,2,1,0,0,2,2,2,2,0,1,0,0,0.5478925252284537,1.2312870738966308,1
0,0,0,1,0,1,0,2,0,0,0,2,0,1,2,1,-1.0375076515467252,1.3934859476757468,1
1,1,0,1,0,2,1,1,1,1,1,1,1,0,0,0,-0.7917169607357945,-1.507125146684449,0
1,1,0,1,2,1,0,0,2,0,0,0,0,1,0,1,-0.9682502422557654,1.1270095722262063,1
0,1,0,1,0,0,2,2,2,2,2,2,1,1,0,0,2.3019906070017435,-0.5312051018470697,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,-1.9863427463378591,-0.267464054201733,1
0,1,1,1,0,1,0,0,0,0,0,0,0,1,2,0,-1.3039529231886935,0.9675676852345821,1
1,1,1,1,2,0,0,0,2,2,2,0,1,1,2,0,0.8112749196679528,-0.3398418894442532,0
1,0,0,1,0,2,1,1,1,1,1,1,0,1,2,0,-2.0400178671789155,-0.41163984962770067,0
0,0,0,1,0,1,2,2,0,2,2,2,0,1,1,1,1.6098014916793928,0.815086704381999,1
0,0,0,1,0,2,1,1,1,1,1,1,0,0,1,0,-1.980293392476931,-0.4762693228138575,0
0,0,0,1,2,0,0,2,0,2,0,2,0,0,1,0,0.2801254452164898,-0.061191318429392266,0
1,1,0,1,2,1,0,0,2,0,0,0,1,1,0,1,0.47448596413450045,0.36267288410033616,0
1,1,0,1,2,1,0,2,0,0,0,0,0,0,0,0,0.9829762464912201,0.08400116739293291,0
1,0,0,1,2,2,1,1,1,1,1,1,2,0,0,0,-1.7552496020941806,-0.42060298205706553,0
0,1,0,1,2,2,1,1,1,1,1,1,2,0,1,0,-0.1288826440409081,-1.8107821276581157,0
0,0,0,1,2,1,2,2,0,0,2,2,0,0,2,0,0.8635561943854971,1.0497476573644124,0
0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,0,-2.1082229098116723,-0.3180744773193036,0
0,1,0,1,2,1,0,2,2,2,2,2,1,1,2,0,3.3228301453342763,0.031512552926178064,1
1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,-1.7011537448031095,0.3326339791880313,1
0,0,0,1,0,2,1,1,1,1,1,1,0,1,3,0,-2.1312490443980154,-0.35488222839446587,0
0,1,0,1,2,1,2,0,0,0,0,0,0,0,2,1,1.0268496896872115,0.005544161410018112,1
0,0,0,1,2,1,0,2,2,0,2,2,1,1,2,1,3.0739048851792194,-0.01595992712381103,0
1,0,1,1,0,0,0,2,2,0,2,0,1,0,1,0,-0.17591342217370204,0.060328999962427084,0
1,1,0,1,0,0,2,2,2,2,2,2,2,1,0,0,2.3229339243374723,-0.4969857469779561,0
0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,-1.2189292036981005,0.9158873588660391,0
0,1,0,1,0,0,0,2,2,0,0,0,0,1,3,0,-0.7385643731370506,0.020665879386543982,0
1,0,0,1,2,0,2,2,0,2,0,0,2,1,0,1,1.3578379705858372,-0.9164566281932263,0
0,1,0,1,2,1,2,2,2,2,0,0,1,1,2,1,2.0098290013976965,0.024295630535257354,0
1,1,0,1,2,1,2,2,2,2,2,2,2,1,0,1,3.5188729126434612,0.2024649691905228,0
1,1,1,1,2,2,1,1,1,1,1,1,2,1,0,0,-1.731208412178351,-0.5152994252695426,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,-1.7217127935409158,0.29976991572806483,1
1,1,1,1,2,1,2,2,2,0,0,0,0,1,2,0,2.2282598822837203,-0.1715243304698132,0
1,0,0,1,0,0,0,0,0,2,0,0,0,0,3,0,-0.9871104231506035,0.06766482780045704,1
1,1,1,1,2,0,2,2,0,0,0,2,0,0,3,0,-0.7576191475285453,0.6064993608024819,0
1,1,0,1,0,0,0,2,2,2,2,0,1,1,2,0,0.6375885179074614,-0.15202765508337363,0
1,1,0,0,1,0,0,0,0,0,2,2,1,1,1,0,0.3781184308650379,-1.1660102831526837,0
1,0,0,1,2,1,2,2,0,0,0,2,0,1,1,0,0.5244845053868826,0.8242597725177441,0
0,0,0,1,0,2,1,1,1,1,1,1,1,1,1,0,-1.486320089422167,-0.9075022291717882,0
1,0,0,1,2,1,0,0,0,0,0,0,0,1,0,1,-0.5340750928580573,0.6866067026958489,0
0,1,1,1,0,0,2,0,0,2,0,0,1,0,0,0,-1.095017551537258,0.24175428573857485,0
0,0,0,1,0,0,0,0,2,0,0,0,1,1,3,0,-0.14762133045548653,-0.564574996498345,0
0,1,1,1,2,0,0,0,2,2,2,2,1,1,2,0,0.30577064878020993,0.3553651093132982,0
0,0,0,1,0,0,0,2,0,0,0,0,0,1,2,0,-0.09680850156361748,-0.63394003266349,0
0,0,0,1,2,1,0,0,0,0,0,0,0,1,3,0,-0.7931458888433603,0.882358993965622,0
0,1,1,1,2,1,0,2,2,0,2,2,1,1,1,0,2.637744323548944,0.04152617492565391,1
0,1,0,1,0,1,0,0,0,2,0,2,0,0,1,0,0.1551754117273139,0.7152367758008715,0
0,1,1,1,2,1,2,2,2,2,2,2,2,1,2,0,3.5159018256742023,0.18744000759375767,0
1,0,0,1,0,2,1,1,1,1,1,1,2,1,1,0,-0.11654430599089896,-2.1118967240419284,0
0,1,1,0,1,0,0,2,0,2,0,0,0,0,2,0,-1.7584220882449133,-0.06952721510952156,0
0,0,0,0,1,0,2,2,2,0,2,2,1,0,2,0,-0.46106320551104435,0.10377586026486481,0
0,1,0,1,2,1,2,0,2,0,2,2,1,1,0,1,1.538574390251329,0.7622220277248131,0
0,1,0,1,0,2,1,1,1,1,1,1,1,1,0,0,-0.7231310096334537,-1.5826427199020476,0
0,1,1,1,0,0,2,2,2,2,2,2,2,0,1,0,2.4241075774930603,-0.4743983328923407,0
1,1,1,1,0,1,0,2,0,2,0,0,0,0,2,0,1.3169402179596612,-0.2285216902532,0
0,0,0,1,2,1,2,0,0,0,0,0,0,1,2,0,-0.9943667814506667,1.1589760769743849,0
1,1,0,1,2,0,0,2,0,0,0,2,1,0,0,1,1.1095689545463734,-0.7717851478178467,0
1,1,1,1,0,1,0,2,2,2,2,2,1,1,2,0,3.041143930151876,0.016624298830720245,0
1,1,1,1,2,1,2,2,2,2,2,2,2,0,3,0,2.609257416152373,0.6428010064340941,0
0,0,0,1,2,1,0,0,2,0,2,2,0,1,2,0,-0.44065334292270236,1.5596608959586153,1
1,1,1,1,2,1,2,0,2,0,2,2,2,1,0,0,3.097296070207842,-0.05045509240094026,0
